time,wind_speed,wind_angle,battery_voltage,battery_current,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w,velocity_x,velocity_y,velocity_z,angular_x,angular_y,angular_z,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z,node_ids
43.3,0.3000000119209289,139.0,24.40998077392578,1.4074640274047852,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,0.0,0.0,0.0,0.0148420631885528,-0.0088395634666085,-0.0145011860877275,0.0974331045895815,0.0711664982512593,-9.791678919196132,1188161.0
43.4,0.3000000119209289,141.0,24.40622520446777,1.4313193559646606,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,0.0,0.0,0.0,0.0023289390373975,-0.0078610200434923,0.0258321557193994,0.090672343717888,0.0673160473583266,-9.772235172986983,1188161.0
43.6,0.3000000119209289,146.0,24.411231994628903,1.455174684524536,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,0.0,0.0,0.0,0.028504429385066,0.0134151196107268,0.0031486744992434,0.1202129248715937,0.0627500799950212,-9.809649751782418,1188161.0
43.71,0.3000000119209289,148.0,24.408727645874023,1.439271092414856,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,0.0,0.0,0.0,0.0005755667225457,-1.3000089893466793e-06,-0.0171376187354326,0.1162854323443025,0.0830275660660117,-9.795241042971613,1188161.0
43.9,0.3000000119209289,152.0,24.416240692138672,1.439271092414856,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,0.0,0.0,0.0,-0.0169782303273677,0.0043756738305091,0.0007673734799027,0.1344775911793113,0.0517712062736973,-9.829257220029833,1188161.0
44.0,0.3000000119209289,154.0,24.40372085571289,1.4313193559646606,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,0.0,0.0,0.0,-0.0156452897936105,0.0241518970578908,-0.0042548212222754,0.1478250668942928,0.0892768234759569,-9.817715985774994,1188161.0
44.2,0.3000000119209289,155.0,24.41373634338379,1.439271092414856,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,0.0,0.0,0.0,0.0135395796969532,0.0065664150752127,-0.0033972749952226,0.1244844255410134,0.0836811477318406,-9.818967289924624,1188161.0
44.3,0.3000000119209289,155.0,24.412485122680664,1.4313193559646606,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,0.0,0.0,0.0,-0.0046807997860014,0.0026583366561681,0.0043626027181744,0.101269417097792,0.0222105664294213,-9.822024214267731,1188161.0
44.5,0.3000000119209289,155.0,24.411231994628903,1.455174684524536,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,0.0,0.0,0.0,-0.00544188125059,0.0073849968612194,0.008491008542478,0.1083024754934013,0.0535367776080966,-9.8050854152441,1188161.0
44.6,0.3000000119209289,156.0,24.408727645874023,1.4631264209747314,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,0.0,0.0,0.0,0.010573910549283,0.0068572955206036,-0.0223090332001447,0.1103689911402762,0.1171724275499582,-9.802644787430763,1188161.0
44.81,0.3000000119209289,154.0,24.40372085571289,1.4472228288650513,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,0.0,0.0,0.0,-0.0234274715185165,-0.0241157412528991,0.0011162902228534,0.0813904918637126,0.047702343603596,-9.796070762872697,1188161.0
