node,lng,lat
310,-122.4495208,37.7466155
311,-122.4498627,37.7468467
312,-122.4511677,37.7473559
313,-122.4517658,37.7479816
314,-122.4521239,37.7486825
315,-122.452123,37.7493865
316,-122.452129,37.7512455
317,-122.451687,37.752299
318,-122.4511127,37.752553
319,-122.4507506,37.7527502
320,-122.4507157,37.7536228
321,-122.4511271,37.7539342
322,-122.4525821,37.7535558
323,-122.4653391,37.7362922
324,-122.4648989,37.7335996
325,-122.4621847,37.7661655
326,-122.462116,37.765174
327,-122.4620518,37.7642385
328,-122.4619224,37.7623733
329,-122.461794,37.760512
330,-122.460544,37.7595865
331,-122.4637763,37.7886783
332,-122.463637,37.786728
333,-122.4635233,37.7851372
334,-122.4635038,37.7848663
335,-122.4633696,37.7830001
336,-122.4630929,37.779153
337,-122.4629583,37.7772822
338,-122.4628243,37.7754196
339,-122.4594813,37.7662
340,-122.459972,37.7652645
341,-122.4599084,37.764333
342,-122.4597697,37.7629566
343,-122.461494,37.786825
344,-122.4613916,37.7854086
345,-122.4613594,37.7849629
346,-122.4612247,37.7830976
347,-122.4609468,37.7792507
348,-122.4608116,37.7773796
349,-122.460677,37.7755174
350,-122.4658875,37.7435768
351,-122.4667176,37.7413221
352,-122.4680192,37.7400178
353,-122.4696657,37.7385015
354,-122.4709552,37.7376555
355,-122.4731672,37.7375643
356,-122.475383,37.7374593
357,-122.4763947,37.7374162
358,-122.4774662,37.7373712
359,-122.481658,37.7372381
360,-122.4828819,37.7374818
361,-122.487495,37.7369632
362,-122.4901588,37.7379087
363,-122.4903922,37.7378645
364,-122.4924861,37.7370741
365,-122.4941464,37.7366405
366,-122.4946019,37.7366118
367,-122.495677,37.7365641
368,-122.496747,37.7365167
369,-122.4978165,37.7364692
370,-122.4988879,37.7364217
371,-122.4999583,37.7363742
372,-122.5010318,37.7363266
373,-122.5021035,37.7362791
374,-122.5031768,37.7362315
375,-122.5042462,37.736184
376,-122.5053175,37.7361365
377,-122.5062142,37.7360967
378,-122.4313541,37.7366312
379,-122.430806,37.7361001
380,-122.4302478,37.7355589
381,-122.42972,37.7350436
382,-122.4189423,37.7379043
383,-122.4179911,37.7378126
384,-122.4165721,37.737676
385,-122.417837,37.7459644
386,-122.4172368,37.745723
387,-122.4166011,37.7454683
388,-122.4161253,37.7452758
389,-122.4157328,37.7451166
390,-122.4181898,37.7460833
391,-122.474991,37.799961
392,-122.474135,37.799951
393,-122.4736452,37.801872
394,-122.4732504,37.8032758
395,-122.4411712,37.7803083
396,-122.4646105,37.7547706
397,-122.4656806,37.7547232
398,-122.4667518,37.7546757
399,-122.4678139,37.7546281
400,-122.4700302,37.7554422
401,-122.4721407,37.7544197
402,-122.473352,37.7554405
403,-122.4743528,37.7543384
404,-122.4754228,37.7542912
405,-122.476506,37.7542426
406,-122.4775663,37.7541945
407,-122.4786369,37.7541484
408,-122.4797079,37.7541023
409,-122.4807791,37.7540551
410,-122.4818518,37.7540079
411,-122.4829214,37.7539607
412,-122.4839915,37.7539135
413,-122.4850639,37.7538663
414,-122.4861351,37.7538191
415,-122.4872072,37.7537718
416,-122.4882786,37.7537246
417,-122.4893514,37.7536773
418,-122.4904227,37.7536301
419,-122.4914926,37.753583
420,-122.492565,37.7535328
421,-122.4936375,37.7534884
422,-122.4947088,37.7534412
423,-122.4953214,37.7534142
424,-122.4957779,37.753394
425,-122.4968507,37.7533468
426,-122.4979231,37.7532995
427,-122.4989938,37.7532523
428,-122.500064,37.7532051
429,-122.5011364,37.7531579
430,-122.5022081,37.7531106
431,-122.5032804,37.7530634
432,-122.5043519,37.7530161
433,-122.5054221,37.752969
434,-122.5064939,37.7529217
435,-122.5075662,37.7528744
436,-122.5084523,37.7528354
437,-122.4506201,37.8015088
438,-122.4508304,37.8011661
439,-122.4516866,37.7997607
440,-122.4203306,37.7099147
441,-122.4255356,37.7377652
442,-122.4240568,37.7373676
443,-122.4231171,37.7373566
444,-122.4210854,37.7372616
445,-122.4188243,37.737163
446,-122.4180974,37.7371258
447,-122.4166287,37.7370461
448,-122.4237942,37.7345657
449,-122.4228795,37.7343652
450,-122.4223887,37.7338243
451,-122.4220521,37.7331709
452,-122.4259737,37.7318057
453,-122.3969158,37.7326319
454,-122.3985732,37.7315629
455,-122.39897,37.730165
456,-122.4203966,37.7728747
457,-122.4210424,37.772375
458,-122.472726,37.7129857
459,-122.4071699,37.7513209
460,-122.4080611,37.7512669
461,-122.409002,37.7512099
462,-122.4099347,37.7511541
463,-122.4108337,37.751099
464,-122.4117672,37.7510425
465,-122.412862,37.7509762
466,-122.413384,37.7509429
467,-122.4139499,37.7509102
468,-122.4150359,37.7508444
469,-122.416129,37.7507783
470,-122.4172209,37.7507122
471,-122.4183106,37.7506461
472,-122.4188715,37.7506129
473,-122.4194007,37.7505801
474,-122.4205077,37.750513
475,-122.4214386,37.7504566
476,-122.4227756,37.7503756
477,-122.4238307,37.7503117
478,-122.4250891,37.7502355
479,-122.4272941,37.7501017
480,-122.4283894,37.7500356
481,-122.4295003,37.7499683
482,-122.4317174,37.749834
483,-122.4339554,37.7496984
484,-122.436157,37.7495652
485,-122.4383382,37.7494329
486,-122.4393904,37.7493692
487,-122.4404764,37.7493034
488,-122.4415447,37.7492387
489,-122.4425979,37.7491749
490,-122.3858824,37.7529706
491,-122.3868411,37.7529171
492,-122.3887861,37.7527748
493,-122.3897159,37.7527267
494,-122.3926627,37.7525484
495,-122.393619,37.752485
496,-122.3946262,37.752432
497,-122.396513,37.752311
498,-122.398452,37.752194
499,-122.39883,37.752044
500,-122.4004367,37.7520763
501,-122.4013751,37.7520173
502,-122.402323,37.75197
503,-122.4042586,37.7518525
504,-122.405222,37.7517957
505,-122.4061793,37.7517386
506,-122.4491792,37.7186878
507,-122.4495806,37.7180513
508,-122.4317156,37.7643171
509,-122.4315626,37.7627128
510,-122.3930445,37.7615052
511,-122.3921817,37.757709
512,-122.3918937,37.755163
513,-122.392488,37.7641169
514,-122.3764886,37.8278368
515,-122.3767654,37.8282685
516,-122.4143409,37.7706075
517,-122.4216211,37.728876
518,-122.4213845,37.7283168
519,-122.4208885,37.7271178
520,-122.4203958,37.7259163
521,-122.4198891,37.7247137
522,-122.4416489,37.7642093
523,-122.4343498,37.7401123
524,-122.4343274,37.7394544
525,-122.4339687,37.7381499
526,-122.4723581,37.8017716
527,-122.4722811,37.8015043
528,-122.4698931,37.8009806
529,-122.4883452,37.7851981
530,-122.4894135,37.7851012
531,-122.4904901,37.7851414
532,-122.4592978,37.7869244
533,-122.460422,37.7868735
534,-122.4625658,37.7867765
535,-122.4647071,37.7866795
536,-122.4657764,37.7866311
537,-122.4668475,37.7865827
538,-122.4679218,37.786534
539,-122.4689921,37.7864856
540,-122.470059,37.7864373
541,-122.4722023,37.7863403
542,-122.4732717,37.7862919
543,-122.474395,37.7862411
544,-122.4755201,37.7861901
545,-122.4765897,37.7861417
546,-122.4776613,37.7860933
547,-122.4787344,37.7860447
548,-122.4798016,37.7859963
549,-122.4808787,37.7859476
550,-122.4819471,37.7858993
551,-122.4840875,37.7858024
552,-122.4851604,37.7857538
553,-122.48623,37.7857054
554,-122.4873016,37.7856569
555,-122.4882221,37.7856156
556,-122.4960109,37.7654657
557,-122.495844,37.7608748
558,-122.4957133,37.7590093
559,-122.4955827,37.7571448
560,-122.4954521,37.7552802
561,-122.4951906,37.7515479
562,-122.4950602,37.7496864
563,-122.4949296,37.7478215
564,-122.4947988,37.7459548
565,-122.4946682,37.7440896
566,-122.4945376,37.742226
567,-122.4944069,37.7403594
568,-122.4942764,37.738496
569,-122.4938153,37.7319131
570,-122.3663441,37.7284415
571,-122.5083204,37.7692341
572,-122.5108891,37.7704482
573,-122.4953665,37.7698838
574,-122.4956592,37.7695854
575,-122.4964842,37.7692539
576,-122.5004862,37.7681624
577,-122.4540539,37.7713517
578,-122.489821,37.7708865
579,-122.4937049,37.7702874
580,-122.4380992,37.7120137
581,-122.4390943,37.7117491
582,-122.4401203,37.7114761
583,-122.441146,37.7112114
584,-122.4421722,37.7109444
585,-122.4427123,37.7107631
586,-122.4433473,37.7105541
587,-122.445515,37.7098121
588,-122.4467173,37.7094011
589,-122.4477017,37.7090639
590,-122.449859,37.7083271
591,-122.445024,37.7569249
592,-122.3877083,37.7870796
593,-122.3887838,37.786927
594,-122.3896503,37.786234
595,-122.3921405,37.7842158
596,-122.39362,37.7830916
597,-122.3947506,37.7822033
598,-122.395859,37.7813262
599,-122.3963913,37.7809058
600,-122.3968643,37.7805311
601,-122.4014329,37.776919
602,-122.402537,37.7760452
603,-122.4030865,37.7756113
604,-122.403646,37.7751689
605,-122.4042261,37.7747101
606,-122.4043547,37.7746083
607,-122.404762,37.7742861
608,-122.4053075,37.7738549
609,-122.4065661,37.7728643
610,-122.4091395,37.7708243
611,-122.4108749,37.7694301
612,-122.4105117,37.7656077
613,-122.4103829,37.7643089
614,-122.4102625,37.7630381
615,-122.4101411,37.761765
616,-122.4100144,37.7604937
617,-122.4097853,37.7592022
618,-122.4096146,37.7576026
619,-122.4094619,37.7560037
620,-122.4092755,37.7544101
621,-122.4091488,37.7528057
622,-122.4088504,37.7496123
623,-122.4087149,37.7483061
624,-122.4086804,37.7479679
625,-122.446214,37.7126228
626,-122.446778,37.7130718
627,-122.4370094,37.710767
628,-122.4367205,37.710028
629,-122.4360387,37.7093031
630,-122.4349593,37.7082753
631,-122.450095,37.70968
632,-122.451344,37.710671
633,-122.452493,37.7115963
634,-122.38543,37.7326915
635,-122.3844584,37.7323449
636,-122.3963261,37.7801001
637,-122.3976147,37.7790913
638,-122.398325,37.7785237
639,-122.398999,37.777975
640,-122.3997752,37.7773873
641,-122.4541003,37.7588449
642,-122.4562987,37.7573981
643,-122.449451,37.71313
644,-122.448971,37.713355
645,-122.4772728,37.7915218
646,-122.4766047,37.7914111
647,-122.38792,37.764421
648,-122.3898884,37.7642945
649,-122.3908367,37.7642385
650,-122.3918058,37.7641742
651,-122.3937569,37.764035
652,-122.3947445,37.7639801
653,-122.3956935,37.7639061
654,-122.3966592,37.7638479
655,-122.3976126,37.7637902
656,-122.3985796,37.7637318
657,-122.4005471,37.7636271
658,-122.401478,37.7635685
659,-122.402459,37.7635015
660,-122.403412,37.7634472
661,-122.4043871,37.7633932
662,-122.406324,37.7632775
663,-122.4073226,37.7632168
664,-122.4083274,37.763156
665,-122.4092976,37.7630967
666,-122.4112193,37.7629823
667,-122.4121747,37.7629247
668,-122.3946458,37.7785754
669,-122.3939076,37.7779827
670,-122.3949085,37.7389298
671,-122.386541,37.734256
672,-122.3874055,37.734832
673,-122.38922,37.735856
674,-122.3902239,37.7364211
675,-122.391087,37.736907
676,-122.392965,37.737961
677,-122.3985951,37.7411346
678,-122.400427,37.742197
679,-122.401996,37.743094
680,-122.4032684,37.7438989
681,-122.3957625,37.7224245
682,-122.3966449,37.722629
683,-122.397691,37.7228762
684,-122.3983654,37.7230402
685,-122.3992301,37.7232457
686,-122.4000898,37.7234507
687,-122.400785,37.723616
688,-122.402078,37.7239221
689,-122.4095893,37.7388967
690,-122.4097687,37.7368792
691,-122.4093807,37.743022
692,-122.4095,37.741316
693,-122.4096734,37.739732
694,-122.4277854,37.7396614
695,-122.427428,37.738854
696,-122.427707,37.737214
697,-122.4278906,37.7420172
698,-122.427652,37.739668
699,-122.477674,37.792993
700,-122.4777896,37.7924177
701,-122.4095041,37.7312621
702,-122.4085638,37.7290062
703,-122.4080708,37.7278106
704,-122.4075771,37.7266144
705,-122.4070765,37.7254094
706,-122.4065778,37.7242057
707,-122.4063058,37.7235517
708,-122.402677,37.71493
709,-122.402562,37.71465
710,-122.402188,37.714731
711,-122.4020842,37.7137023
712,-122.404549,37.719406
713,-122.387528,37.737731
714,-122.3894126,37.7388024
715,-122.3912678,37.7398532
716,-122.3950049,37.7419757
717,-122.3950821,37.7421227
718,-122.3982582,37.743958
719,-122.398747,37.744096
720,-122.400311,37.744982
721,-122.4020367,37.7459637
722,-122.402698,37.746334
723,-122.4032588,37.7471596
724,-122.370712,37.728189
725,-122.3726059,37.7292644
726,-122.3970077,37.742884
727,-122.3984522,37.7437593
728,-122.398522,37.74385
729,-122.4026906,37.773488
730,-122.4019182,37.7728571
731,-122.4692591,37.7366651
732,-122.4688164,37.734833
733,-122.4686875,37.7331013
734,-122.4687599,37.7318513
735,-122.4693485,37.7299741
736,-122.4758502,37.7168996
737,-122.4784485,37.7159391
738,-122.4792835,37.7164173
739,-122.4800685,37.7168854
740,-122.4815391,37.7175266
741,-122.4832036,37.7175856
742,-122.4756523,37.719923
743,-122.4755262,37.7189669
744,-122.4753957,37.7182013
745,-122.45688,37.7773973
746,-122.4567653,37.7768288
747,-122.4566836,37.7764237
748,-122.456496,37.7754954
749,-122.456073,37.7132042
750,-122.4590465,37.7131818
751,-122.4625009,37.7131906
752,-122.4141823,37.7180251
753,-122.4164994,37.7218131
754,-122.4310745,37.7327019
755,-122.430872,37.731838
756,-122.4306105,37.7312398
757,-122.4267637,37.7689974
758,-122.4223315,37.769296
759,-122.4244831,37.769157
760,-122.417328,37.7989484
761,-122.4511439,37.728357
762,-122.4511485,37.7290619
763,-122.4511542,37.7298719
764,-122.4511592,37.7306855
765,-122.4511652,37.7315868
766,-122.45117,37.7323181
767,-122.4511749,37.73306
768,-122.4511886,37.7338024
769,-122.450005,37.71172
770,-122.450774,37.712336
771,-122.4831285,37.7185192
772,-122.4846317,37.7185716
773,-122.4851044,37.7185886
774,-122.4851036,37.7183354
775,-122.4831473,37.7182709
776,-122.412033,37.7138137
777,-122.412519,37.7127345
778,-122.412859,37.7119634
779,-122.3794873,37.7341149
780,-122.3799401,37.7334034
781,-122.379647,37.7324958
782,-122.3793457,37.7317023
783,-122.379544,37.7311164
784,-122.379901,37.730719
785,-122.381439,37.730582
786,-122.3823174,37.7306329
787,-122.382888,37.730342
788,-122.383431,37.729738
789,-122.383994,37.729112
790,-122.384556,37.728486
791,-122.385119,37.72786
792,-122.385682,37.727233
793,-122.386264,37.72662
794,-122.386828,37.7259918
795,-122.3873956,37.7253656
796,-122.387953,37.7247412
797,-122.388515,37.7241122
798,-122.3890792,37.7234894
799,-122.3896416,37.7228625
800,-122.3901961,37.7222322
801,-122.3907642,37.7216048
802,-122.3913223,37.7209788
803,-122.39187,37.720349
804,-122.392418,37.71974
805,-122.393005,37.7191263
806,-122.4239805,37.7713479
807,-122.4238213,37.7697876
808,-122.4441845,37.7659699
809,-122.4449393,37.7654956
810,-122.4459844,37.7652239
811,-122.402026,37.731024
812,-122.40214,37.730896
813,-122.402698,37.730266
814,-122.4030742,37.7299316
815,-122.3897659,37.744671
816,-122.390328,37.744046
817,-122.39938,37.733958
818,-122.400036,37.733351
819,-122.400566,37.732861
820,-122.395382,37.738404
821,-122.395945,37.737784
822,-122.396646,37.7372065
823,-122.397082,37.7365464
824,-122.3976548,37.735914
825,-122.3980046,37.7355336
826,-122.399375,37.734748
827,-122.4549758,37.7587626
828,-122.4569116,37.7573131
829,-122.4777067,37.792272
830,-122.4701056,37.8058669
831,-122.4737639,37.8066276
832,-122.4263994,37.7696323
833,-122.426797,37.7706675
834,-122.4269862,37.7715998
835,-122.4270789,37.7720572
836,-122.4271742,37.7725274
837,-122.4273638,37.7734668
838,-122.4274578,37.7739324
839,-122.4275514,37.7743958
840,-122.4276457,37.7748632
841,-122.42774,37.7753305
842,-122.4278342,37.7757973
843,-122.427928,37.7762616
844,-122.428022,37.7767271
845,-122.4281162,37.7771939
846,-122.429056,37.7818527
847,-122.4290768,37.7823361
848,-122.4299974,37.7865117
849,-122.4301856,37.7874436
850,-122.4303739,37.7883758
851,-122.4305663,37.7893282
852,-122.4307539,37.7902573
853,-122.4309318,37.791138
854,-122.431109,37.7920153
855,-122.4312864,37.7928936
856,-122.4314634,37.7937733
857,-122.4316509,37.794698
858,-122.4318423,37.7956464
859,-122.4322196,37.7975133
860,-122.432408,37.7984456
861,-122.4325021,37.7989118
862,-122.4325965,37.7993789
863,-122.4326915,37.7998495
864,-122.4327857,37.800315
865,-122.4328789,37.800775
866,-122.4333436,37.8030638
867,-122.4335414,37.8040372
868,-122.4337435,37.805032
869,-122.429441,37.7644586
870,-122.4294095,37.764132
871,-122.410365,37.741362
872,-122.410507,37.739779
873,-122.410565,37.746323
874,-122.4090527,37.7464226
875,-122.408125,37.746465
876,-122.406496,37.746595
877,-122.406024,37.745635
878,-122.41698,37.7418086
879,-122.4170589,37.7416724
880,-122.4177766,37.7405667
881,-122.4185999,37.7393011
882,-122.4190923,37.73854
883,-122.4193205,37.7381885
884,-122.4095541,37.7287461
885,-122.4090551,37.7275521
886,-122.4085568,37.7263543
887,-122.4080624,37.7251513
888,-122.4075631,37.7239537
889,-122.4072789,37.7232989
890,-122.4105282,37.7309503
891,-122.4100468,37.7299477
892,-122.4059865,37.7201355
893,-122.405797,37.719737
894,-122.403507,37.714357
895,-122.403341,37.713945
896,-122.450399,37.7161725
897,-122.4511601,37.716577
898,-122.4519007,37.7169713
899,-122.452668,37.7173803
900,-122.4533987,37.7177687
901,-122.45411,37.7182449
902,-122.456118,37.7182419
903,-122.459187,37.7182358
904,-122.460209,37.7182338
905,-122.4623067,37.7182295
906,-122.487436,37.7875191
907,-122.4871669,37.783793
908,-122.4870318,37.7819245
909,-122.4867537,37.7780757
910,-122.4866188,37.7762092
911,-122.4864839,37.7743424
912,-122.4845407,37.7464075
913,-122.4844103,37.744541
914,-122.4842802,37.7426778
915,-122.4841499,37.740812
916,-122.4840199,37.7389507
917,-122.4858514,37.7651195
918,-122.4857166,37.7631935
919,-122.4855861,37.7613278
920,-122.4854555,37.7594623
921,-122.4853251,37.757598
922,-122.4851945,37.7557324
923,-122.4849334,37.7520003
924,-122.4393002,37.7681824
925,-122.4404404,37.717253
926,-122.439659,37.7169604
927,-122.4387764,37.7166364
928,-122.4379244,37.7163237
929,-122.4370711,37.7160105
930,-122.4362182,37.7156974
931,-122.4353654,37.7153844
932,-122.4345122,37.7150712
933,-122.4336611,37.7147587
934,-122.4328199,37.71445
935,-122.4483833,37.804996
936,-122.4088393,37.7784094
937,-122.4073136,37.7771792
938,-122.38769,37.761826
939,-122.3886243,37.7617732
940,-122.389608,37.761711
941,-122.390573,37.7616525
942,-122.391538,37.761594
943,-122.3934993,37.7614777
944,-122.3944742,37.7614188
945,-122.3954492,37.7613598
946,-122.3964172,37.7613012
947,-122.3973721,37.7612435
948,-122.3983381,37.7611851
949,-122.3993031,37.7611267
950,-122.4002671,37.7610684
951,-122.4012113,37.7609981
952,-122.4022143,37.7609503
953,-122.4031826,37.7608987
954,-122.4041442,37.7608389
955,-122.4051159,37.7607997
956,-122.4058965,37.760753
957,-122.407142,37.7606613
958,-122.4080819,37.7606084
